
# Latin (iso-8859-1)

00A1; 0021;		INVERTED EXCLAMATION MARK => !
# Uncomment the following 8 lines if you want to double Latvian "long" letters
# in URLs (non-typical but worked this way prior to TYPO3 4.0)
#0100; 0041 0041;	LATIN CAPITAL LETTER A WITH MACRON => AA (Latvian)
#0101; 0061 0061;	LATIN SMALL LETTER A WITH MACRON => aa (Latvian)
#0112; 0045 0045;	LATIN CAPITAL LETTER E WITH MACRON => EE (Latvian)
#0113; 0065 0065;	LATIN SMALL LETTER E WITH MACRON => ee (Latvian)
#012A; 0049 0049;	LATIN CAPITAL LETTER I WITH MACRON => II (Latvian)
#012B; 0060 0069;	LATIN SMALL LETTER I WITH MACRON => ii(Latvian)
#016A; 0055 0055;	LATIN CAPITAL LETTER U WITH MACRON => UU (Latvian)
#016B; 0075 0075;	LATIN SMALL LETTER U WITH MACRON => uu (Latvian)

014C; 004F 004F;	LATIN CAPITAL LETTER O WITH MACRON => OO
014D; 006F 006F;	LATIN SMALL LETTER O WITH MACRON => oo
0131; 0069;		LATIN SMALL LETTER DOTLESS I => i (Turkish)
0152; 004F 0045;	LATIN CAPITAL LETTER OE => OE
0153; 006F 0065;	LATIN SMALL LETTER OE => oe
0192; 0066;		LATIN SMALL LETTER F WITH HOOK => f
02BC; 0027;		MODIFIER LETTER APOSTROPHE => '
02CA; 0027;		MODIFIER LETTER ACUTE ACCENT => '
2010; 002D;		HYPHEN => -
2011; 002D;		NON-BREAKING HYPHEN => -
2012; 002D;		FIGURE DASH => -
2013; 002D;		EN DASH => -
2014; 002D;		EM DASH => -
2015; 002D;		HORIZONTAL BAR => -
2018; 0060;		LEFT SINGLE QUOTATION MARK => `
2019; 0027;		RIGHT SINGLE QUOTATION MARK >= '
201C; 0022;		LEFT DOUBLE QUOTATION MARK => "
201D; 0022;		RIGHT DOUBLE QUOTATION MARK => "
201E; 0022;		DOUBLE LOW-9 QUOTATION MARK => "
2022; 002A;		BULLET => *
2039; 003C;		SINGLE LEFT-POINTING ANGLE QUOTATION MARK => <
203A; 003E;		SINGLE RIGHT-POINTING ANGLE QUOTATION MARK => >
2044; 002F;		FRACTION SLASH => /
20A0; 0045 0055 0052;	EURO-CURRENCY SIGN => EUR
20AC; 0045 0055 0052;	EURO-CURRENCY SIGN => EUR
2122; 0028 0054 004D 0029;		TRADE MARK SIGN => (TM)

# Greek transliteration

0370; 0048;			GREEK CAPITAL LETTER HETA => H
0371; 0068;			GREEK SMALL LETTER HETA => h
0374; 0027;			GREEK UPPER NUMERAL SIGN => '
0375; 002C;			GREEK LOWER NUMERAL SIGN => ,
037E; 003F;			GREEK QUESTION MARK => ?
0384; 0027;			GREEK TONOS => '
#0385; 				GREEK DIALYTIKA TONOS
0386; 0066;			GREEK CAPITAL LETTER ALPHA WITH TONOS => A
0387; 002A;			GREEK ANO TELEIA => *;	
0388; 0045;			GREEK CAPITAL LETTER EPSILON WITH TONOS => E
0389; 0049;			GREEK CAPITAL LETTER ETA WITH TONOS => I
038A; 0049;			GREEK CAPITAL LETTER IOTA WITH TONOS => I
038C; 004F;			GREEK CAPITAL LETTER OMICRON WITH TONOS => O
038E; 0059;			GREEK CAPITAL LETTER UPSILON WITH TONOS => Y
038F; 004F;			GREEK CAPITAL LETTER OMEGA WITH TONOS => O
0390; 0069;			GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS => i
0391; 0041;			GREEK CAPITAL LETTER ALPHA => A
0392; 0042;			GREEK CAPITAL LETTER BETA => B (possibly V)
0393; 0047;			GREEK CAPITAL LETTER GAMMA => G
0394; 0044;			GREEK CAPITAL LETTER DELTA => D
0395; 0045;			GREEK CAPITAL LETTER EPSILON => E
0396; 005A;			GREEK CAPITAL LETTER ZETA => Z
0397; 0049;			GREEK CAPITAL LETTER ETA => I
0398; 0054 0048;	GREEK CAPITAL LETTER THETA => TH
0399; 0049;			GREEK CAPITAL LETTER IOTA => I
039A; 004B;			GREEK CAPITAL LETTER KAPPA => K
039B; 004C;			GREEK CAPITAL LETTER LAMDA => L
039C; 004D;			GREEK CAPITAL LETTER MU => M
039D; 004E;			GREEK CAPITAL LETTER NU => N
039E; 0058;			GREEK CAPITAL LETTER XI => X (possibly KS 004B 0053)
039F; 004F;			GREEK CAPITAL LETTER OMICRON => O
03A0; 0050;			GREEK CAPITAL LETTER PI => P
03A1; 0052;			GREEK CAPITAL LETTER RHO => R
03A3; 0053;			GREEK CAPITAL LETTER SIGMA => S
03A4; 0054;			GREEK CAPITAL LETTER TAU => T
03A5; 0059;			GREEK CAPITAL LETTER UPSILON => Y
03A6; 0046;			GREEK CAPITAL LETTER PHI => F
03A7; 0043 0048;	GREEK CAPITAL LETTER CHI => CH (possibly KH 0058 0048)
03A8; 0050 0053;	GREEK CAPITAL LETTER PSI => PS
03A9; 004F;			GREEK CAPITAL LETTER OMEGA => O
03AA; 0049;			GREEK CAPITAL LETTER IOTA WITH DIALYTIKA => I
03AB; 0059;			GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA => Y
03AC; 0061;			GREEK SMALL LETTER ALPHA WITH TONOS => a
03AD; 0065;			GREEK SMALL LETTER EPSILON WITH TONOS => e
03AE; 0069;			GREEK SMALL LETTER ETA WITH TONOS => i
03AF; 0069;			GREEK SMALL LETTER IOTA WITH TONOS => i

03B0; 0079;			GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS => y
03B1; 0061;			GREEK SMALL LETTER ALPHA => a
03B2; 0062;			GREEK SMALL LETTER BETA => b
03B3; 0067;			GREEK SMALL LETTER GAMMA => g
03B4; 0064;			GREEK SMALL LETTER DELTA => d
03B5; 0065;			GREEK SMALL LETTER EPSILON => e
03B6; 007A;			GREEK SMALL LETTER ZETA => z
03B7; 0069;			GREEK SMALL LETTER ETA => i
03B8; 0074 0068;	GREEK SMALL LETTER THETA => th
03B9; 0069;			GREEK SMALL LETTER IOTA => i
03BA; 006B;			GREEK SMALL LETTER KAPPA => k
03BB; 006C;			GREEK SMALL LETTER LAMDA => l
03BC; 006D;			GREEK SMALL LETTER MU => m
03BD; 006E;			GREEK SMALL LETTER NU => n
03BE; 0078;			GREEK SMALL LETTER XI => x (possibly ks: 006B 0073)
03BF; 006F;			GREEK SMALL LETTER OMICRON => o
03C0; 0070;			GREEK SMALL LETTER PI => p
03C1; 0072;			GREEK SMALL LETTER RHO => r
03C2; 0073;			GREEK SMALL LETTER FINAL SIGMA => s
03C3; 0073;			GREEK SMALL LETTER SIGMA => s
03C4; 0074;			GREEK SMALL LETTER TAU => t
03C5; 0079;			GREEK SMALL LETTER UPSILON => y
03C6; 0066;			GREEK SMALL LETTER PHI => f
03C7; 0063 0068;	GREEK SMALL LETTER CHI => ch (possibly kh: 006B 0068)
03C8; 0070 0073;	GREEK SMALL LETTER PSI => ps
03C9; 006F;			GREEK SMALL LETTER OMEGA => o
03CA; 0069;			GREEK SMALL LETTER IOTA WITH DIALYTIKA => i
03CB; 0079;			GREEK SMALL LETTER UPSILON WITH DIALYTIKA => y
03CC; 006F;			GREEK SMALL LETTER OMICRON WITH TONOS => o
03CD; 0079;			GREEK SMALL LETTER UPSILON WITH TONOS => y
03CE; 006F;			GREEK SMALL LETTER OMEGA WITH TONOS => o

# Cyrillic (Russian transliteration: modified GOST)

0401; 004A 004F;		CYRILLIC CAPITAL LETTER IO => JO
#0402; ;			CYRILLIC CAPITAL LETTER DJE
#0403; ;			CYRILLIC CAPITAL LETTER GJE
0404; 004A 0045;		CYRILLIC CAPITAL LETTER UKRAINIAN IE => JE
#0405; ;			CYRILLIC CAPITAL LETTER DZE
0406; 0049;			CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I => I
0407; 0049;			CYRILLIC CAPITAL LETTER YI => I
#0408; ;			CYRILLIC CAPITAL LETTER JE ?? J
#0409; ;			CYRILLIC CAPITAL LETTER LJE ?? LJ
#040A; ;			CYRILLIC CAPITAL LETTER NJE ??  NJ
#040B; ;			CYRILLIC CAPITAL LETTER TSHE ?? TSH
#040C; ;			CYRILLIC CAPITAL LETTER KJE ?? KJ KY
040E; 0055;			CYRILLIC CAPITAL LETTER SHORT U => U (Belorussian)
#040F; ;			CYRILLIC CAPITAL LETTER DZHE ?? DZH
0410; 0041;			CYRILLIC CAPITAL LETTER A => A
0411; 0042;			CYRILLIC CAPITAL LETTER BE => B
0412; 0056;			CYRILLIC CAPITAL LETTER VE => V
0413; 0047;			CYRILLIC CAPITAL LETTER GHE => G
0414; 0044;			CYRILLIC CAPITAL LETTER DE => D
0415; 0045;			CYRILLIC CAPITAL LETTER IE => E
0416; 005A 0048;		CYRILLIC CAPITAL LETTER ZHE => ZH
0417; 005A;			CYRILLIC CAPITAL LETTER ZE => Z
0418; 0049;			CYRILLIC CAPITAL LETTER I=> I
0419; 0049;			CYRILLIC CAPITAL LETTER SHORT I => I (GOST has I)
041A; 004B;			CYRILLIC CAPITAL LETTER KA => K
041B; 004C;			CYRILLIC CAPITAL LETTER EL => L
041C; 004D;			CYRILLIC CAPITAL LETTER EM => M
041D; 004E;			CYRILLIC CAPITAL LETTER EN => N
041E; 004F;			CYRILLIC CAPITAL LETTER O => O
041F; 0050;			CYRILLIC CAPITAL LETTER PE => P
0420; 0052;			CYRILLIC CAPITAL LETTER ER => R
0421; 0053;			CYRILLIC CAPITAL LETTER ES => S
0422; 0054;			CYRILLIC CAPITAL LETTER TE => T
0423; 0055;			CYRILLIC CAPITAL LETTER U => U
0424; 0046;			CYRILLIC CAPITAL LETTER EF => F
0425; 004B 0048;		CYRILLIC CAPITAL LETTER HA => KH
0426; 0043;			CYRILLIC CAPITAL LETTER TSE => C
0427; 0043 0048;		CYRILLIC CAPITAL LETTER CHE => CH
0428; 0053 0048;		CYRILLIC CAPITAL LETTER SHA => SH
0429; 0053 0048 0043 0048;	CYRILLIC CAPITAL LETTER SHCHA => SHCH (GOST has SHH)
042A; ;				CYRILLIC CAPITAL LETTER HARD SIGN => omit (GOST has ")
042B; 0059;			CYRILLIC CAPITAL LETTER YERU => Y
042C; ;				CYRILLIC CAPITAL LETTER SOFT SIGN => omit (GOST has ')
042D; 0045 0048;		CYRILLIC CAPITAL LETTER E => EH
042E; 004A 0055;		CYRILLIC CAPITAL LETTER YU => JU
042F; 004A 0041;		CYRILLIC CAPITAL LETTER YA => JA

0430; 0061;			CYRILLIC SMALL LETTER A => a
0431; 0062;			CYRILLIC SMALL LETTER BE => b
0432; 0076;			CYRILLIC SMALL LETTER VE => v
0433; 0067;			CYRILLIC SMALL LETTER GHE => g
0434; 0064;			CYRILLIC SMALL LETTER DE => d
0435; 0065;			CYRILLIC SMALL LETTER IE => e
0436; 007A 0068;		CYRILLIC SMALL LETTER ZHE => zh
0437; 007A;			CYRILLIC SMALL LETTER ZE => z
0438; 0069;			CYRILLIC SMALL LETTER I => i
0439; 0069;			CYRILLIC SMALL LETTER SHORT I => i (GOST has j)
043A; 006B;			CYRILLIC SMALL LETTER KA => k
043B; 006C;			CYRILLIC SMALL LETTER EL => l
043C; 006D;			CYRILLIC SMALL LETTER EM => m
043D; 006E;			CYRILLIC SMALL LETTER EN => n
043E; 006F;			CYRILLIC SMALL LETTER O => o
043F; 0070;			CYRILLIC SMALL LETTER PE => p
0440; 0072;			CYRILLIC SMALL LETTER ER => r
0441; 0073;			CYRILLIC SMALL LETTER ES => s
0442; 0074;			CYRILLIC SMALL LETTER TE => t
0443; 0075;			CYRILLIC SMALL LETTER U => u
0444; 0066;			CYRILLIC SMALL LETTER EF => f
0445; 006B 0068;		CYRILLIC SMALL LETTER HA => kh
0446; 0063;			CYRILLIC SMALL LETTER TSE => c
0447; 0063 0068;		CYRILLIC SMALL LETTER CHE => ch
0448; 0073 0068;		CYRILLIC SMALL LETTER SHA => sh
0449; 0073 0068 0063 0068;	CYRILLIC SMALL LETTER SHCHA => shch (GOST has shh)
044A; ;				CYRILLIC SMALL LETTER HARD SIGN => omit (GOST has ")
044B; 0079;			CYRILLIC SMALL LETTER YERU => y
044C; ;				CYRILLIC SMALL LETTER SOFT SIGN => omit (GOST has ')
044D; 0065 0068;		CYRILLIC SMALL LETTER E => eh
044E; 006A 0075;		CYRILLIC SMALL LETTER YU => ju
044F; 006A 0061;		CYRILLIC SMALL LETTER YA => ja
0451; 006A 006F;		CYRILLIC SMALL LETTER IO => jo
#0452; ;			CYRILLIC SMALL LETTER DJE => dj dy ??
#0453; ;			CYRILLIC SMALL LETTER GJE => gj gy ??
0454; 006A 0065;		CYRILLIC SMALL LETTER UKRAINIAN IE => je
#0455; ;			CYRILLIC SMALL LETTER DZE => dz ??
0456; 0069;			CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I => i
0457; 006A 0069;		CYRILLIC SMALL LETTER YI => ji
#0458; ;			CYRILLIC SMALL LETTER JE ?? j y
#0459; ;			CYRILLIC SMALL LETTER LJE ?? lj ly
#045A; ;			CYRILLIC SMALL LETTER NJE ?? nj ny
#045B; ;			CYRILLIC SMALL LETTER TSHE => ??? tsh ch (Serbocroatian)
#045C; ;			CYRILLIC SMALL LETTER KJE
045E; 0075;			CYRILLIC SMALL LETTER SHORT U => U (Belorussian)
#045F; ;			CYRILLIC SMALL LETTER DZHE ???

0490; 0047 0047;		CYRILLIC CAPITAL LETTER GHE WITH UPTURN => GG (Belorussian, Ukrainian)
0491; 0067 0076;		CYRILLIC SMALL LETTER GHE WITH UPTURN => gg (Belorussian, Ukrainian)

# Hebrew

#05B0; ;		HEBREW POINT SHEVA ??? win1255
#05B1; ;		HEBREW POINT HATAF SEGOL ??? win1255
#05B2; ;		HEBREW POINT HATAF PATAH ??? win1255
#05B3; ;		HEBREW POINT HATAF QAMATS ??? win1255
#05B4; ;		HEBREW POINT HIRIQ ??? win1255
#05B5; ;		HEBREW POINT TSERE ??? win1255
#05B6; ;		HEBREW POINT SEGOL ??? win1255
#05B7; ;		HEBREW POINT PATAH ??? win1255
#05B8; ;		HEBREW POINT QAMATS ??? win1255
#05B9; ;		HEBREW POINT HOLAM ??? win1255
#05BB; ;		HEBREW POINT QUBUTS ??? win1255
#05BC; ;		HEBREW POINT DAGESH OR MAPIQ ??? win1255
#05BD; ;		HEBREW POINT METEG ??? win1255
#05BE; ;		HEBREW PUNCTUATION MAQAF ??? win1255
#05BF; ;		HEBREW POINT RAFE ??? win1255
#05C0; ;		HEBREW PUNCTUATION PASEQ ??? win1255
#05C1; ;		HEBREW POINT SHIN DOT ??? win1255
#05C2; ;		HEBREW POINT SIN DOT ??? win1255
05D0; 0061;		HEBREW LETTER ALEF => a
05D1; 0062;		HEBREW LETTER BET => b
05D2; 0067;		HEBREW LETTER GIMEL => g
05D3; 0064;		HEBREW LETTER DALET => d
05D4; 0068 0061;	HEBREW LETTER HEI => ha
05D5; 006F;		HEBREW LETTER VAV => o
05D6; 007A;		HEBREW LETTER ZAYIN => z
05D7; 0068;		HEBREW LETTER HET => h
05D8; 0074;		HEBREW LETTER TET => t
05D9; 0069;		HEBREW LETTER YOD => i
05DA; 006B 0068;	HEBREW LETTER FINAL KAF HAF => kh
05DB; 006B;		HEBREW LETTER KAF HAF => k
05DC; 006C;		HEBREW LETTER LAMED => l
05DD; 006D;		HEBREW LETTER FINAL MEM => m
05DE; 006D;		HEBREW LETTER MEM => m
05DF; 006E;		HEBREW LETTER FINAL NUN => n
05E0; 006E;		HEBREW LETTER NUN => n
05E1; 0073;		HEBREW LETTER SAMEKH => s
05E2; 0061;		HEBREW LETTER AYIN => a
05E3; 0066;		HEBREW LETTER FINAL PE => f
05E4; 0066;		HEBREW LETTER PE => f
05E5; 0074 007A;	HEBREW LETTER FINAL TSADI => tz
05E6; 0074 007A;	HEBREW LETTER TSADI => tz
05E7; 006B;		HEBREW LETTER QOF => k
05E8; 0072;		HEBREW LETTER RESH => r
05E9; 0073 0068;	HEBREW LETTER SHIN => sh
05EA; 0074;		HEBREW LETTER TAV => t
05F0; 0076;		HEBREW LIGATURE YIDDISH DOUBLE VAV => o
#05F1; ;		HEBREW LIGATURE YIDDISH VAV YOD ??? win1255
#05F2; ;		HEBREW LIGATURE YIDDISH DOUBLE YOD ??? win1255
#05F3; ;		HEBREW PUNCTUATION GERESH ??? win1255
#05F4; ;		HEBREW PUNCTUATION GERSHAYIM ??? win1255

#20AA; 004E 0049 0053;		NEW SHEQEL SIGN => NIS
