0,0,NO DEFINIDO
91263,91,EL ENCANTO
91405,91,LA CHORRERA
91407,91,LA PEDRERA
91430,91,LA VICTORIA
91001,91,LETICIA
91460,91,MIRITI-PARANÁ
91530,91,PUERTO ALEGRÍA
91536,91,PUERTO ARICA
91540,91,PUERTO NARIÑO
91669,91,PUERTO SANTANDER
91798,91,TARAPACÁ
5002,5,ABEJORRAL
5004,5,ABRIAQUÍ
5021,5,ALEJANDRÍA
5030,5,AMAGÁ
5031,5,AMALFI
5034,5,ANDES
5036,5,ANGELÓPOLIS
5038,5,ANGOSTURA
5040,5,ANORÍ
5044,5,ANZA
5045,5,APARTADÓ
5051,5,ARBOLETES
5055,5,ARGELIA
5059,5,ARMENIA
5079,5,BARBOSA
5088,5,BELLO
5086,5,BELMIRA
5091,5,BETANIA
5093,5,BETULIA
5107,5,BRICEÑO
5113,5,BURITICÁ
5120,5,CÁCERES
5125,5,CAICEDO
5129,5,CALDAS
5134,5,CAMPAMENTO
5138,5,CAÑASGORDAS
5142,5,CARACOLÍ
5145,5,CARAMANTA
5147,5,CAREPA
5150,5,CAROLINA
5154,5,CAUCASIA
5172,5,CHIGORODÓ
5190,5,CISNEROS
5101,5,CIUDAD BOLÍVAR
5197,5,COCORNÁ
5206,5,CONCEPCIÓN
5209,5,CONCORDIA
5212,5,COPACABANA
5234,5,DABEIBA
5237,5,DON MATÍAS
5240,5,EBÉJICO
5250,5,EL BAGRE
5148,5,EL CARMEN DE VIBORAL
5697,5,EL SANTUARIO
5264,5,ENTRERRIOS
5266,5,ENVIGADO
5282,5,FREDONIA
5284,5,FRONTINO
5306,5,GIRALDO
5308,5,GIRARDOTA
5310,5,GÓMEZ PLATA
5313,5,GRANADA
5315,5,GUADALUPE
5318,5,GUARNE
5321,5,GUATAPE
5347,5,HELICONIA
5353,5,HISPANIA
5360,5,ITAGUI
5361,5,ITUANGO
5364,5,JARDÍN
5368,5,JERICÓ
5376,5,LA CEJA
5380,5,LA ESTRELLA
5390,5,LA PINTADA
5400,5,LA UNIÓN
5411,5,LIBORINA
5425,5,MACEO
5440,5,MARINILLA
5001,5,MEDELLÍN
5467,5,MONTEBELLO
5475,5,MURINDÓ
5480,5,MUTATÁ
5483,5,NARIÑO
5495,5,NECHÍ
5490,5,NECOCLÍ
5501,5,OLAYA
5541,5,PEÑOL
5543,5,PEQUE
5576,5,PUEBLORRICO
5579,5,PUERTO BERRÍO
5585,5,PUERTO NARE
5591,5,PUERTO TRIUNFO
5604,5,REMEDIOS
5607,5,RETIRO
5615,5,RIONEGRO
5628,5,SABANALARGA
5631,5,SABANETA
5642,5,SALGAR
5647,5,SAN ANDRÉS DE CUERQUÍA
5649,5,SAN CARLOS
5652,5,SAN FRANCISCO
5656,5,SAN JERÓNIMO
